review_golden	review_pred	reply_golden	reply_pred	pair_golden	pair_pred	pair_golden_len
3-4|5-7|8-8		3-3|6-12|17-17		3-4-3-3|3-4-6-12|5-7-17-17		3
7-10|11-13|14-17|18-18|19-21|22-24		2-3|7-8|13-17|19-19|22-23|26-27		7-10-2-3|11-13-7-8|14-17-13-17|18-18-19-19|19-21-22-23|22-24-26-27		6
0-0						0
5-6|8-8|10-10		1-5		5-6-1-5|8-8-1-5|10-10-1-5		3
4-5|11-11|14-16|17-17|18-18|19-19|20-21		1-2|3-5|6-12|13-13|14-15|16-16		4-5-6-12|11-11-3-5|14-16-13-13|17-17-1-2|18-18-14-15|20-21-16-16		6
4-6|7-10|11-12|13-13|14-15|16-18|19-19						0
6-8		2-4		6-8-2-4		1
9-12|13-15|16-20|21-22|23-23|24-27|28-30		2-6|7-10|11-15|16-22		9-12-2-6|13-15-7-10|16-20-11-15|21-22-16-22		4
4-4|6-7|8-9|12-12		3-4|6-9|11-17|18-23		4-4-3-4|6-7-6-9|8-9-11-17|12-12-18-23		4
9-10|11-13|14-19		5-7|12-13|18-27|30-32		9-10-5-7|11-13-12-13|14-19-18-27|14-19-30-32		4
2-7|8-10|11-12|13-15		2-8|12-12|13-14		2-7-2-8|8-10-12-12|13-15-13-14		3
5-9|10-11|12-13		4-11|13-15|17-21		5-9-4-11|10-11-13-15|12-13-17-21		3
						0
4-6|7-8|9-10|11-12|13-13|14-16|17-18|19-20|21-22|23-31		1-7|10-13|15-16|18-22|23-28|29-29		4-6-1-7|4-6-10-13|4-6-29-29|7-8-15-16|7-8-18-22|9-10-23-28|13-13-23-28		7
6-9|10-10		1-1|2-2		6-9-1-1|10-10-2-2		2
6-7|8-11		3-4|6-9		6-7-3-4|8-11-6-9		2
9-11|13-13|17-17|18-19|21-25|26-26|27-30|31-35|36-36|37-37|38-38		1-1|2-2|5-17|18-19|20-20|22-23		13-13-1-1|17-17-2-2|17-17-5-17|18-19-18-19|36-36-20-20|37-37-22-23|38-38-2-2|38-38-5-17		8
6-7|8-12|13-14|15-15|16-16		3-6|8-13|15-17|18-18		6-7-3-6|6-7-18-18|8-12-8-13|13-14-15-17|16-16-3-6|16-16-18-18		6
8-11|13-15|17-18|20-20		7-11|15-19|22-23|24-24|25-25		8-11-7-11|13-15-15-19|17-18-22-23|17-18-25-25|20-20-24-24		5
6-7|8-11|12-14|15-17|18-19|20-23|24-25|26-32|33-34|35-35		2-3|4-8|9-13|14-19|20-21|22-22|23-23|24-25|26-27		6-7-2-3|8-11-4-8|12-14-9-13|15-17-14-19|18-19-20-21|20-23-22-22|24-25-23-23|26-32-24-25|33-34-26-27		9
